hidden_size,pooling,epochs,optimizer,accuracy
16,max,5,SGD,0.47346938775510206
16,max,5,RMSprop,0.5377551020408163
16,max,5,Adam,0.536734693877551
16,max,50,SGD,0.5306122448979592
16,max,50,RMSprop,0.5459183673469388
16,max,50,Adam,0.5693877551020409
16,max,100,SGD,0.5326530612244897
16,max,100,RMSprop,0.5642857142857143
16,max,100,Adam,0.5704081632653061
16,max,250,SGD,0.5285714285714286
16,max,250,RMSprop,0.5571428571428572
16,max,250,Adam,0.5591836734693878
16,max,350,SGD,0.523469387755102
16,max,350,RMSprop,0.5622448979591836
16,max,350,Adam,0.560204081632653
16,avg,5,SGD,0.4826530612244898
16,avg,5,RMSprop,0.5275510204081633
16,avg,5,Adam,0.5418367346938775
16,avg,50,SGD,0.5306122448979592
16,avg,50,RMSprop,0.563265306122449
16,avg,50,Adam,0.560204081632653
16,avg,100,SGD,0.5275510204081633
16,avg,100,RMSprop,0.5530612244897959
16,avg,100,Adam,0.5551020408163265
16,avg,250,SGD,0.5285714285714286
16,avg,250,RMSprop,0.5744897959183674
16,avg,250,Adam,0.5489795918367347
16,avg,350,SGD,0.5306122448979592
16,avg,350,RMSprop,0.5540816326530612
16,avg,350,Adam,0.5642857142857143
32,max,5,SGD,0.49795918367346936
32,max,5,RMSprop,0.5428571428571428
32,max,5,Adam,0.5418367346938775
32,max,50,SGD,0.5265306122448979
32,max,50,RMSprop,0.5622448979591836
32,max,50,Adam,0.5755102040816327
32,max,100,SGD,0.5285714285714286
32,max,100,RMSprop,0.5785714285714286
32,max,100,Adam,0.5551020408163265
32,max,250,SGD,0.5306122448979592
32,max,250,RMSprop,0.563265306122449
32,max,250,Adam,0.5663265306122449
32,max,350,SGD,0.5265306122448979
32,max,350,RMSprop,0.5551020408163265
32,max,350,Adam,0.5683673469387756
32,avg,5,SGD,0.4969387755102041
32,avg,5,RMSprop,0.5387755102040817
32,avg,5,Adam,0.5316326530612245
32,avg,50,SGD,0.5285714285714286
32,avg,50,RMSprop,0.5551020408163265
32,avg,50,Adam,0.5704081632653061
32,avg,100,SGD,0.5306122448979592
32,avg,100,RMSprop,0.5591836734693878
32,avg,100,Adam,0.5622448979591836
32,avg,250,SGD,0.5255102040816326
32,avg,250,RMSprop,0.560204081632653
32,avg,250,Adam,0.5591836734693878
32,avg,350,SGD,0.5275510204081633
32,avg,350,RMSprop,0.5489795918367347
32,avg,350,Adam,0.560204081632653
64,max,5,SGD,0.5122448979591837
64,max,5,RMSprop,0.5357142857142857
64,max,5,Adam,0.5336734693877551
64,max,50,SGD,0.523469387755102
64,max,50,RMSprop,0.5714285714285714
64,max,50,Adam,0.5561224489795918
64,max,100,SGD,0.5224489795918368
64,max,100,RMSprop,0.5581632653061225
64,max,100,Adam,0.560204081632653
64,max,250,SGD,0.5275510204081633
64,max,250,RMSprop,0.5591836734693878
64,max,250,Adam,0.5561224489795918
64,max,350,SGD,0.5255102040816326
64,max,350,RMSprop,0.563265306122449
64,max,350,Adam,0.5591836734693878
64,avg,5,SGD,0.5051020408163265
64,avg,5,RMSprop,0.5306122448979592
64,avg,5,Adam,0.5204081632653061
64,avg,50,SGD,0.5265306122448979
64,avg,50,RMSprop,0.5459183673469388
64,avg,50,Adam,0.5683673469387756
64,avg,100,SGD,0.5275510204081633
64,avg,100,RMSprop,0.5479591836734694
64,avg,100,Adam,0.560204081632653
64,avg,250,SGD,0.5285714285714286
64,avg,250,RMSprop,0.5622448979591836
64,avg,250,Adam,0.5581632653061225
64,avg,350,SGD,0.5285714285714286
64,avg,350,RMSprop,0.5551020408163265
64,avg,350,Adam,0.576530612244898
